cooler,valve,pump,accumulator
3,90,1,115
3,90,1,115
3,90,1,115
3,90,1,115
3,90,1,115
3,90,1,115
3,90,1,115
3,100,1,115
3,100,1,115
3,100,1,115
3,100,1,115
3,100,1,115
3,100,1,115
3,100,1,115
3,100,1,115
3,100,1,115
3,100,1,115
3,73,0,115
3,73,0,115
3,73,0,115
3,73,0,115
3,73,0,115
3,73,0,115
3,73,0,115
3,73,0,115
3,73,0,115
3,73,0,115
3,80,0,115
3,80,0,115
3,80,0,115
3,80,0,115
3,80,0,115
3,80,0,115
3,80,0,115
3,80,0,115
3,80,0,115
3,80,0,115
3,90,0,115
3,90,0,115
3,90,0,115
3,90,0,115
3,90,0,115
3,90,0,115
3,90,0,115
3,90,0,115
3,90,0,115
3,90,0,115
3,100,0,115
3,100,0,115
3,100,0,115
3,100,0,115
3,100,0,115
3,100,0,115
3,100,0,115
3,100,0,115
3,100,0,115
3,100,0,115
3,73,2,100
3,73,2,100
3,73,2,100
3,73,2,100
3,73,2,100
3,73,2,100
3,73,2,100
3,73,2,100
3,73,2,100
3,73,2,100
3,80,2,100
3,80,2,100
3,80,2,100
3,80,2,100
3,80,2,100
3,80,2,100
3,80,2,100
3,80,2,100
3,80,2,100
3,80,2,100
3,90,2,100
3,90,2,100
3,90,2,100
3,90,2,100
3,90,2,100
3,90,2,100
3,90,2,100
3,90,2,100
3,90,2,100
3,90,2,100
3,100,2,100
3,100,2,100
3,100,2,100
3,100,2,100
3,100,2,100
3,100,2,100
3,100,2,100
3,100,2,100
3,100,2,100
3,100,2,100
3,73,1,100
3,73,1,100
3,73,1,100
3,73,1,100
3,73,1,100
3,73,1,100
3,73,1,100
3,73,1,100
3,73,1,100
3,73,1,100
3,80,1,100
3,80,1,100
3,80,1,100
3,80,1,100
3,80,1,100
3,80,1,100
3,80,1,100
3,80,1,100
3,80,1,100
3,80,1,100
3,90,1,100
3,90,1,100
3,90,1,100
3,90,1,100
3,90,1,100
3,90,1,100
3,90,1,100
3,90,1,100
3,90,1,100
3,90,1,100
3,100,1,100
3,100,1,100
3,100,1,100
3,100,1,100
3,100,1,100
3,100,1,100
3,100,1,100
3,100,1,100
3,100,1,100
3,100,1,100
3,73,0,100
3,73,0,100
3,73,0,100
3,73,0,100
3,73,0,100
3,73,0,100
3,73,0,100
3,73,0,100
3,73,0,100
3,73,0,100
3,80,0,100
3,80,0,100
3,80,0,100
3,80,0,100
3,80,0,100
3,80,0,100
3,80,0,100
3,80,0,100
3,80,0,100
3,80,0,100
3,90,0,100
3,90,0,100
3,90,0,100
3,90,0,100
3,90,0,100
3,90,0,100
3,90,0,100
3,90,0,100
3,90,0,100
3,90,0,100
3,100,0,100
3,100,0,100
3,100,0,100
3,100,0,100
3,100,0,100
3,100,0,100
3,100,0,100
3,100,0,100
3,100,0,100
3,100,0,100
3,73,2,90
3,73,2,90
3,73,2,90
3,73,2,90
3,73,2,90
3,73,2,90
3,73,2,90
3,73,2,90
3,73,2,90
3,73,2,90
3,80,2,90
3,80,2,90
3,80,2,90
3,80,2,90
3,80,2,90
3,80,2,90
3,80,2,90
3,80,2,90
3,80,2,90
3,80,2,90
3,90,2,90
3,90,2,90
3,90,2,90
3,90,2,90
3,90,2,90
3,90,2,90
3,90,2,90
3,90,2,90
3,90,2,90
3,90,2,90
3,100,2,90
3,100,2,90
3,100,2,90
3,100,2,90
3,100,2,90
3,100,2,90
3,100,2,90
3,100,2,90
3,100,2,90
3,100,2,90
3,73,1,90
3,73,1,90
3,73,1,90
3,73,1,90
3,73,1,90
3,73,1,90
3,73,1,90
3,73,1,90
3,73,1,90
3,73,1,90
3,80,1,90
3,80,1,90
3,80,1,90
3,80,1,90
3,80,1,90
3,80,1,90
3,80,1,90
3,80,1,90
3,80,1,90
3,80,1,90
3,90,1,90
3,90,1,90
3,90,1,90
3,90,1,90
3,90,1,90
3,90,1,90
3,90,1,90
3,90,1,90
3,90,1,90
3,90,1,90
3,100,1,90
3,100,1,90
3,100,1,90
3,100,1,90
3,100,1,90
3,100,1,90
3,100,1,90
3,100,1,90
3,100,1,90
3,100,1,90
3,73,0,90
3,73,0,90
3,73,0,90
3,73,0,90
3,73,0,90
3,73,0,90
3,73,0,90
3,73,0,90
3,73,0,90
3,73,0,90
3,80,0,90
3,80,0,90
3,80,0,90
3,80,0,90
3,80,0,90
3,80,0,90
3,80,0,90
3,80,0,90
3,80,0,90
3,80,0,90
3,90,0,90
3,90,0,90
3,90,0,90
3,90,0,90
3,90,0,90
3,90,0,90
3,90,0,90
3,90,0,90
3,90,0,90
3,90,0,90
3,100,0,90
3,100,0,90
3,100,0,90
3,100,0,90
3,100,0,90
3,100,0,90
3,100,0,90
3,100,0,90
3,100,0,90
3,100,0,90
20,73,2,130
20,73,2,130
20,73,2,130
20,73,2,130
20,73,2,130
20,73,2,130
20,73,2,130
20,73,2,130
20,73,2,130
20,73,2,130
20,80,2,130
20,80,2,130
20,80,2,130
20,80,2,130
20,80,2,130
20,80,2,130
20,80,2,130
20,80,2,130
20,80,2,130
20,80,2,130
20,90,2,130
20,90,2,130
20,90,2,130
20,90,2,130
20,90,2,130
20,90,2,130
20,90,2,130
20,90,2,130
20,90,2,130
20,90,2,130
20,100,2,130
20,100,2,130
20,100,2,130
20,100,2,130
20,100,2,130
20,100,2,130
20,100,2,130
20,100,2,130
20,100,2,130
20,100,2,130
20,73,1,130
20,73,1,130
20,73,1,130
20,73,1,130
20,73,1,130
20,73,1,130
20,73,1,130
20,73,1,130
20,73,1,130
20,73,1,130
20,80,1,130
20,80,1,130
20,80,1,130
20,80,1,130
20,80,1,130
20,80,1,130
20,80,1,130
20,80,1,130
20,80,1,130
20,80,1,130
20,90,1,130
20,90,1,130
20,90,1,130
20,90,1,130
20,90,1,130
20,90,1,130
20,90,1,130
20,90,1,130
20,90,1,130
20,90,1,130
20,100,1,130
20,100,1,130
20,100,1,130
20,100,1,130
20,100,1,130
20,100,1,130
20,100,1,130
20,100,1,130
20,100,1,130
20,100,1,130
20,73,0,130
20,73,0,130
20,73,0,130
20,73,0,130
20,73,0,130
20,73,0,130
20,73,0,130
20,73,0,130
20,73,0,130
20,73,0,130
20,80,0,130
20,80,0,130
20,80,0,130
20,80,0,130
20,80,0,130
20,80,0,130
20,80,0,130
20,80,0,130
20,80,0,130
20,80,0,130
20,90,0,130
20,90,0,130
20,90,0,130
20,90,0,130
20,90,0,130
20,90,0,130
20,90,0,130
20,90,0,130
20,90,0,130
20,90,0,130
20,100,0,130
20,100,0,130
20,100,0,130
20,100,0,130
20,100,0,130
20,100,0,130
20,100,0,130
20,100,0,130
20,100,0,130
20,100,0,130
20,73,2,115
20,73,2,115
20,73,2,115
20,73,2,115
20,73,2,115
20,73,2,115
20,73,2,115
20,73,2,115
20,73,2,115
20,73,2,115
20,80,2,115
20,80,2,115
20,80,2,115
20,80,2,115
20,80,2,115
20,80,2,115
20,80,2,115
20,80,2,115
20,80,2,115
20,80,2,115
20,90,2,115
20,90,2,115
20,90,2,115
20,90,2,115
20,90,2,115
20,90,2,115
20,90,2,115
20,90,2,115
20,90,2,115
20,90,2,115
20,100,2,115
20,100,2,115
20,100,2,115
20,100,2,115
20,100,2,115
20,100,2,115
20,100,2,115
20,100,2,115
20,100,2,115
20,100,2,115
20,73,1,115
20,73,1,115
20,73,1,115
20,73,1,115
20,73,1,115
20,73,1,115
20,73,1,115
20,73,1,115
20,73,1,115
20,73,1,115
20,80,1,115
20,80,1,115
20,80,1,115
20,80,1,115
20,80,1,115
20,80,1,115
20,80,1,115
20,80,1,115
20,80,1,115
20,80,1,115
20,90,1,115
20,90,1,115
20,90,1,115
20,90,1,115
20,90,1,115
20,90,1,115
20,90,1,115
20,90,1,115
20,90,1,115
20,90,1,115
20,100,1,115
20,100,1,115
20,100,1,115
20,100,1,115
20,100,1,115
20,100,1,115
20,100,1,115
20,100,1,115
20,100,1,115
20,100,1,115
20,73,0,115
20,73,0,115
20,73,0,115
20,73,0,115
20,73,0,115
20,73,0,115
20,73,0,115
20,73,0,115
20,73,0,115
20,73,0,115
20,80,0,115
20,80,0,115
20,80,0,115
20,80,0,115
20,80,0,115
20,80,0,115
20,80,0,115
20,80,0,115
20,80,0,115
20,80,0,115
20,90,0,115
20,90,0,115
20,90,0,115
20,90,0,115
20,90,0,115
20,90,0,115
20,90,0,115
20,90,0,115
20,90,0,115
20,90,0,115
20,100,0,115
20,100,0,115
20,100,0,115
20,100,0,115
20,100,0,115
20,100,0,115
20,100,0,115
20,100,0,115
20,100,0,115
20,100,0,115
20,73,2,100
20,73,2,100
20,73,2,100
20,73,2,100
20,73,2,100
20,73,2,100
20,73,2,100
20,73,2,100
20,73,2,100
20,73,2,100
20,80,2,100
20,80,2,100
20,80,2,100
20,80,2,100
20,80,2,100
20,80,2,100
20,80,2,100
20,80,2,100
20,80,2,100
20,80,2,100
20,90,2,100
20,90,2,100
20,90,2,100
20,90,2,100
20,90,2,100
20,90,2,100
20,90,2,100
20,90,2,100
20,90,2,100
20,90,2,100
20,100,2,100
20,100,2,100
20,100,2,100
20,100,2,100
20,100,2,100
20,100,2,100
20,100,2,100
20,100,2,100
20,100,2,100
20,100,2,100
20,73,1,100
20,73,1,100
20,73,1,100
20,73,1,100
20,73,1,100
20,73,1,100
20,73,1,100
20,73,1,100
20,73,1,100
20,73,1,100
20,80,1,100
20,80,1,100
20,80,1,100
20,80,1,100
20,80,1,100
20,80,1,100
20,80,1,100
20,80,1,100
20,80,1,100
20,80,1,100
20,90,1,100
20,90,1,100
20,90,1,100
20,90,1,100
20,90,1,100
20,90,1,100
20,90,1,100
20,90,1,100
20,90,1,100
20,90,1,100
20,100,1,100
20,100,1,100
20,100,1,100
20,100,1,100
20,100,1,100
20,100,1,100
20,100,1,100
20,100,1,100
20,100,1,100
20,100,1,100
20,73,0,100
20,73,0,100
20,73,0,100
20,73,0,100
20,73,0,100
20,73,0,100
20,73,0,100
20,73,0,100
20,73,0,100
20,73,0,100
20,80,0,100
20,80,0,100
20,80,0,100
20,80,0,100
20,80,0,100
20,80,0,100
20,80,0,100
20,80,0,100
20,80,0,100
20,80,0,100
20,90,0,100
20,90,0,100
20,90,0,100
20,90,0,100
20,90,0,100
20,90,0,100
20,90,0,100
20,90,0,100
20,90,0,100
20,90,0,100
20,100,0,100
20,100,0,100
20,100,0,100
20,100,0,100
20,100,0,100
20,100,0,100
20,100,0,100
20,100,0,100
20,100,0,100
20,100,0,100
20,73,2,90
20,73,2,90
20,73,2,90
20,73,2,90
20,73,2,90
20,73,2,90
20,73,2,90
20,73,2,90
20,73,2,90
20,73,2,90
20,80,2,90
20,80,2,90
20,80,2,90
20,80,2,90
20,80,2,90
20,80,2,90
20,80,2,90
20,80,2,90
20,80,2,90
20,80,2,90
20,90,2,90
20,90,2,90
20,90,2,90
20,90,2,90
20,90,2,90
20,90,2,90
20,90,2,90
20,90,2,90
20,90,2,90
20,90,2,90
20,100,2,90
20,100,2,90
20,100,2,90
20,100,2,90
20,100,2,90
20,100,2,90
20,100,2,90
20,100,2,90
20,100,2,90
20,100,2,90
20,73,1,90
20,73,1,90
20,73,1,90
20,73,1,90
20,73,1,90
20,73,1,90
20,73,1,90
20,73,1,90
20,73,1,90
20,73,1,90
20,80,1,90
20,80,1,90
20,80,1,90
20,80,1,90
20,80,1,90
20,80,1,90
20,80,1,90
20,80,1,90
20,80,1,90
20,80,1,90
20,90,1,90
20,90,1,90
20,90,1,90
20,90,1,90
20,90,1,90
20,90,1,90
20,90,1,90
20,90,1,90
20,90,1,90
20,90,1,90
20,100,1,90
20,100,1,90
20,100,1,90
20,100,1,90
20,100,1,90
20,100,1,90
20,100,1,90
20,100,1,90
20,100,1,90
20,100,1,90
20,73,0,90
20,73,0,90
20,73,0,90
20,73,0,90
20,73,0,90
20,73,0,90
20,73,0,90
20,73,0,90
20,73,0,90
20,73,0,90
20,80,0,90
20,80,0,90
20,80,0,90
20,80,0,90
20,80,0,90
20,80,0,90
20,80,0,90
20,80,0,90
20,80,0,90
20,80,0,90
20,90,0,90
20,90,0,90
20,90,0,90
20,90,0,90
20,90,0,90
20,90,0,90
20,90,0,90
20,90,0,90
20,90,0,90
20,90,0,90
20,100,0,90
20,100,0,90
20,100,0,90
20,100,0,90
20,100,0,90
20,100,0,90
20,100,0,90
20,100,0,90
20,100,0,90
20,100,0,90
100,73,2,130
100,73,2,130
100,73,2,130
100,73,2,130
100,73,2,130
100,73,2,130
100,73,2,130
100,73,2,130
100,73,2,130
100,73,2,130
100,80,2,130
100,80,2,130
100,80,2,130
100,80,2,130
100,80,2,130
100,80,2,130
100,80,2,130
100,80,2,130
100,80,2,130
100,80,2,130
100,90,2,130
100,90,2,130
100,90,2,130
100,90,2,130
100,90,2,130
100,90,2,130
100,90,2,130
100,90,2,130
100,90,2,130
100,90,2,130
100,100,2,130
100,100,2,130
100,100,2,130
100,100,2,130
100,100,2,130
100,100,2,130
100,100,2,130
100,100,2,130
100,100,2,130
100,100,2,130
100,73,1,130
100,73,1,130
100,73,1,130
100,73,1,130
100,73,1,130
100,73,1,130
100,73,1,130
100,73,1,130
100,73,1,130
100,73,1,130
100,80,1,130
100,80,1,130
100,80,1,130
100,80,1,130
100,80,1,130
100,80,1,130
100,80,1,130
100,80,1,130
100,80,1,130
100,80,1,130
100,90,1,130
100,90,1,130
100,90,1,130
100,90,1,130
100,90,1,130
100,90,1,130
100,90,1,130
100,90,1,130
100,90,1,130
100,90,1,130
100,100,1,130
100,100,1,130
100,100,1,130
100,100,1,130
100,100,1,130
100,100,1,130
100,100,1,130
100,100,1,130
100,100,1,130
100,100,1,130
100,73,0,130
100,73,0,130
100,73,0,130
100,73,0,130
100,73,0,130
100,73,0,130
100,73,0,130
100,73,0,130
100,73,0,130
100,73,0,130
100,80,0,130
100,80,0,130
100,80,0,130
100,80,0,130
100,80,0,130
100,80,0,130
100,80,0,130
100,80,0,130
100,80,0,130
100,80,0,130
100,90,0,130
100,90,0,130
100,90,0,130
100,90,0,130
100,90,0,130
100,90,0,130
100,90,0,130
100,90,0,130
100,90,0,130
100,90,0,130
100,100,0,130
100,100,0,130
100,100,0,130
100,100,0,130
100,100,0,130
100,100,0,130
100,100,0,130
100,100,0,130
100,100,0,130
100,100,0,130
100,73,2,115
100,73,2,115
100,73,2,115
100,73,2,115
100,73,2,115
100,73,2,115
100,73,2,115
100,73,2,115
100,73,2,115
100,73,2,115
100,80,2,115
100,80,2,115
100,80,2,115
100,80,2,115
100,80,2,115
100,80,2,115
100,80,2,115
100,80,2,115
100,80,2,115
100,80,2,115
100,90,2,115
100,90,2,115
100,90,2,115
100,90,2,115
100,90,2,115
100,90,2,115
100,90,2,115
100,90,2,115
100,90,2,115
100,90,2,115
100,100,2,115
100,100,2,115
100,100,2,115
100,100,2,115
100,100,2,115
100,100,2,115
100,100,2,115
100,100,2,115
100,100,2,115
100,100,2,115
100,73,1,115
100,73,1,115
100,73,1,115
100,73,1,115
100,73,1,115
100,73,1,115
100,73,1,115
100,73,1,115
100,73,1,115
100,73,1,115
100,80,1,115
100,80,1,115
100,80,1,115
100,80,1,115
100,80,1,115
100,80,1,115
100,80,1,115
100,80,1,115
100,80,1,115
100,80,1,115
100,90,1,115
100,90,1,115
100,90,1,115
100,90,1,115
100,90,1,115
100,90,1,115
100,90,1,115
100,90,1,115
100,90,1,115
100,90,1,115
100,100,1,115
100,100,1,115
100,100,1,115
100,100,1,115
100,100,1,115
100,100,1,115
100,100,1,115
100,100,1,115
100,100,1,115
100,100,1,115
100,73,0,115
100,73,0,115
100,73,0,115
100,73,0,115
100,73,0,115
100,73,0,115
100,73,0,115
100,73,0,115
100,73,0,115
100,73,0,115
100,80,0,115
100,80,0,115
100,80,0,115
100,80,0,115
100,80,0,115
100,80,0,115
100,80,0,115
100,80,0,115
100,80,0,115
100,80,0,115
100,90,0,115
100,90,0,115
100,90,0,115
100,90,0,115
100,90,0,115
100,90,0,115
100,90,0,115
100,90,0,115
100,90,0,115
100,90,0,115
100,100,0,115
100,100,0,115
100,100,0,115
100,100,0,115
100,100,0,115
100,100,0,115
100,100,0,115
100,100,0,115
100,100,0,115
100,100,0,115
100,73,2,100
100,73,2,100
100,73,2,100
100,73,2,100
100,73,2,100
100,73,2,100
100,73,2,100
100,73,2,100
100,73,2,100
100,73,2,100
100,80,2,100
100,80,2,100
100,80,2,100
100,80,2,100
100,80,2,100
100,80,2,100
100,80,2,100
100,80,2,100
100,80,2,100
100,80,2,100
100,90,2,100
100,90,2,100
100,90,2,100
100,90,2,100
100,90,2,100
100,90,2,100
100,90,2,100
100,90,2,100
100,90,2,100
100,90,2,100
100,100,2,100
100,100,2,100
100,100,2,100
100,100,2,100
100,100,2,100
100,100,2,100
100,100,2,100
100,100,2,100
100,100,2,100
100,100,2,100
100,73,1,100
100,73,1,100
100,73,1,100
100,73,1,100
100,73,1,100
100,73,1,100
100,73,1,100
100,73,1,100
100,73,1,100
100,73,1,100
100,80,1,100
100,80,1,100
100,80,1,100
100,80,1,100
100,80,1,100
100,80,1,100
100,80,1,100
100,80,1,100
100,80,1,100
100,80,1,100
100,90,1,100
100,90,1,100
100,90,1,100
100,90,1,100
100,90,1,100
100,90,1,100
100,90,1,100
100,90,1,100
100,90,1,100
100,90,1,100
100,100,1,100
100,100,1,100
100,100,1,100
100,100,1,100
100,100,1,100
100,100,1,100
100,100,1,100
100,100,1,100
100,100,1,100
100,100,1,100
100,73,0,100
100,73,0,100
100,73,0,100
100,73,0,100
100,73,0,100
100,73,0,100
100,73,0,100
100,73,0,100
100,73,0,100
100,73,0,100
100,80,0,100
100,80,0,100
100,80,0,100
100,80,0,100
100,80,0,100
100,80,0,100
100,80,0,100
100,80,0,100
100,80,0,100
100,80,0,100
100,90,0,100
100,90,0,100
100,90,0,100
100,90,0,100
100,90,0,100
100,90,0,100
100,90,0,100
100,90,0,100
100,90,0,100
100,90,0,100
100,100,0,100
100,100,0,100
100,100,0,100
100,100,0,100
100,100,0,100
100,100,0,100
100,100,0,100
100,100,0,100
100,100,0,100
100,100,0,100
100,73,2,90
100,73,2,90
100,73,2,90
100,73,2,90
100,73,2,90
100,73,2,90
100,73,2,90
100,73,2,90
100,73,2,90
100,73,2,90
100,80,2,90
100,80,2,90
100,80,2,90
100,80,2,90
100,80,2,90
100,80,2,90
100,80,2,90
100,80,2,90
100,80,2,90
100,80,2,90
100,90,2,90
100,90,2,90
100,90,2,90
100,90,2,90
100,90,2,90
100,90,2,90
100,90,2,90
100,90,2,90
100,90,2,90
100,90,2,90
100,100,2,90
100,100,2,90
100,100,2,90
100,100,2,90
100,100,2,90
100,100,2,90
100,100,2,90
100,100,2,90
100,100,2,90
100,100,2,90
100,73,1,90
100,73,1,90
100,73,1,90
100,73,1,90
100,73,1,90
100,73,1,90
100,73,1,90
100,73,1,90
100,73,1,90
100,73,1,90
100,80,1,90
100,80,1,90
100,80,1,90
100,80,1,90
100,80,1,90
100,80,1,90
100,80,1,90
100,80,1,90
100,80,1,90
100,80,1,90
100,90,1,90
100,90,1,90
100,90,1,90
100,90,1,90
100,90,1,90
100,90,1,90
100,90,1,90
100,90,1,90
100,90,1,90
100,90,1,90
100,100,1,90
100,100,1,90
100,100,1,90
100,100,1,90
100,100,1,90
100,100,1,90
100,100,1,90
100,100,1,90
100,100,1,90
100,100,1,90
100,73,0,90
100,73,0,90
100,73,0,90
100,73,0,90
100,73,0,90
100,73,0,90
100,73,0,90
100,73,0,90
100,73,0,90
100,73,0,90
100,80,0,90
100,80,0,90
100,80,0,90
100,80,0,90
100,80,0,90
100,80,0,90
100,80,0,90
100,80,0,90
100,80,0,90
100,80,0,90
100,90,0,90
100,90,0,90
100,90,0,90
100,90,0,90
100,90,0,90
100,90,0,90
100,90,0,90
100,90,0,90
100,90,0,90
100,90,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
100,100,0,90
